YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,Departures_IFR,Arrivals_IFR,Total_IFR_Movements
2019,11,2019-11-04,LIPE,Bologna,112,112,224
2019,11,2019-11-05,LIPE,Bologna,102,102,204
2019,11,2019-11-06,LIPE,Bologna,93,92,185
2019,11,2019-11-07,LIPE,Bologna,98,97,195
2019,11,2019-11-08,LIPE,Bologna,110,110,220
2019,11,2019-11-09,LIPE,Bologna,89,88,177
2019,11,2019-11-10,LIPE,Bologna,102,104,206
2019,11,2019-11-11,LIPE,Bologna,110,112,222
2019,11,2019-11-12,LIPE,Bologna,97,92,189
2019,11,2019-11-13,LIPE,Bologna,91,89,180
2019,11,2019-11-14,LIPE,Bologna,103,102,205
2019,11,2019-11-15,LIPE,Bologna,119,122,241
2019,11,2019-11-16,LIPE,Bologna,87,84,171
2019,11,2019-11-17,LIPE,Bologna,94,93,187
2019,11,2019-11-18,LIPE,Bologna,108,114,222
2019,11,2019-11-19,LIPE,Bologna,97,94,191
2019,11,2019-11-20,LIPE,Bologna,89,90,179
2019,11,2019-11-21,LIPE,Bologna,96,93,189
2019,11,2019-11-22,LIPE,Bologna,109,111,220
2019,11,2019-11-23,LIPE,Bologna,85,85,170
2019,11,2019-11-24,LIPE,Bologna,91,90,181
2019,11,2019-11-25,LIPE,Bologna,99,100,199
2019,11,2019-11-26,LIPE,Bologna,94,93,187
2019,11,2019-11-27,LIPE,Bologna,89,91,180
2019,11,2019-11-28,LIPE,Bologna,95,94,189
2019,11,2019-11-29,LIPE,Bologna,114,112,226
2019,11,2019-11-30,LIPE,Bologna,86,85,171
2019,12,2019-12-01,LIPE,Bologna,94,96,190
2019,12,2019-12-02,LIPE,Bologna,114,112,226
2019,12,2019-12-03,LIPE,Bologna,102,99,201
2019,12,2019-12-04,LIPE,Bologna,91,87,178
2019,12,2019-12-05,LIPE,Bologna,90,96,186
2019,12,2019-12-06,LIPE,Bologna,104,106,210
2019,12,2019-12-07,LIPE,Bologna,92,84,176
2019,12,2019-12-08,LIPE,Bologna,87,93,180
2019,12,2019-12-09,LIPE,Bologna,115,113,228
2019,12,2019-12-10,LIPE,Bologna,91,92,183
2019,12,2019-12-11,LIPE,Bologna,89,89,178
2019,12,2019-12-12,LIPE,Bologna,91,92,183
2019,12,2019-12-13,LIPE,Bologna,92,92,184
2019,12,2019-12-14,LIPE,Bologna,84,83,167
2019,12,2019-12-15,LIPE,Bologna,91,95,186
2019,12,2019-12-16,LIPE,Bologna,109,105,214
2019,12,2019-12-17,LIPE,Bologna,90,94,184
2019,12,2019-12-18,LIPE,Bologna,98,99,197
2019,12,2019-12-19,LIPE,Bologna,117,112,229
2019,12,2019-12-20,LIPE,Bologna,115,116,231
2019,12,2019-12-21,LIPE,Bologna,107,104,211
2019,12,2019-12-22,LIPE,Bologna,95,96,191
2019,12,2019-12-23,LIPE,Bologna,111,105,216
2019,12,2019-12-24,LIPE,Bologna,76,76,152
2019,12,2019-12-25,LIPE,Bologna,34,35,69
2019,12,2019-12-26,LIPE,Bologna,93,93,186
2019,12,2019-12-27,LIPE,Bologna,100,101,201
2019,12,2019-12-28,LIPE,Bologna,91,90,181
2019,12,2019-12-29,LIPE,Bologna,89,92,181
2019,12,2019-12-30,LIPE,Bologna,108,105,213
2019,12,2019-12-31,LIPE,Bologna,77,77,154
